,Ticker,Market Cap
0,PG,233121077971
1,MCC,289802803
2,VNTR,2546542357
4,KOF,15963979200
5,BGH,380697974
6,CPG,4732037309
7,CAF,582484598
8,FFG,1811419502
9,WGL,4340316681
11,CSRA,5273714229
12,CMI,31464123958
13,SNDR,5263934247
14,KMF,328088791
15,ACRE,376243979
16,MUR,5984827236
17,SRF,24650890
18,PNR,13427311091
19,FHN,6558138314
20,JDD,243615453
21,NNC,211634568
22,ALDW,1172424900
24,DQ,665329217
25,HTGC,1108422245
26,EVT,1746604882
27,RIV,77543951
28,PDI,1476910938
29,FRA,530562954
30,TK,945349208
31,RAD,2444597543
33,CBD,6245430668
34,MPV,152952710
35,MATX,1314185560
36,LC,1684371128
37,MTN,9378091398
38,WU,9438459169
39,FCAU,47079447800
40,FSD,498620164
41,IX,25233642988
42,PAGP,3586168350
43,FSM,779028477
44,TECK,16570219977
45,BKK,309215676
46,ORAN,48332835478
47,EXG,2960317658
48,ROK,26182996467
49,NUE,21933071339
50,FDX,73372288843
51,IT,12550691730
52,ABEV,106829505398
53,AWF,1086493930
54,DTF,118267108
55,EME,4860372019
56,PQ,40417940
57,MGF,152899239
58,KEY,22867706760
59,BAH,5777072312
60,PLNT,3318779834
61,UNVR,4367264448
62,EDD,543718980
63,JCI,36277052470
65,FTI,16082204348
66,NEV,350298955
67,KND,726015304
68,WLKP,792974358
69,AER,8611865515
70,SOR,363479682
71,AN,5478276851
72,SRC,3879684108
73,UAN,430475297
74,TTM,22331114302
75,RQI,1291379386
77,ENB,66878801724
78,NL,679572632
79,NI,8066208947
80,GGB,7469338504
81,MSA,3051305515
83,TAP,13682776136
84,WFC,316634344330
85,RL,9337805270
86,LLY,94077532108
87,XIN,507517402
88,UN,166281262323
89,HASI,1123006310
90,LPT,6156176223
91,HTZ,2033603591
92,LGF.A,2860496805
94,CCK,7752915514
95,IBN,35164306084
96,CHCT,470230748
97,ITGR,1575574043
98,VMO,827176246
99,NKG,130705988
100,NNA,141847728
101,AT,276508742
102,ETJ,623300703
103,LDL,866404621
104,MDU,5083772907
105,VSTO,898264588
106,NOK,27395779298
107,PX,45986363871
108,JMM,72292354
109,MTU,105547623328
110,MODN,467155974
111,NCA,282391359
112,GNE,117762522
113,BRFS,9352438954
114,NBL,16028843935
115,KSM,129016339
116,MFCB,98398188
117,NTG,945102452
118,REX,560014060
120,HT,765207422
121,OLN,6148550333
122,TEL,35606783277
123,SYT,42836418070
124,CIM,3359402609
125,AXS,4298486746
126,CIC,487528125
127,FI,1686690886
128,NAT,269141838
129,SPE,133499150
130,KAMN,1716196174
131,NAO,79963033
132,MCS,751649733
133,ANH,513118454
134,JLS,384658576
135,LQ,2317176192
136,ALEX,1394179574
137,UTL,651995871
138,KEN,1568614276
139,QCP,1287066669
140,TDF,812936161
141,HUBB,7580068764
