,Ticker,Market Cap
0,MRC,1763995353
1,YUMC,17499901625
2,NVG,3099059294
3,TDY,6756320611
4,PGZ,119021550
5,OLP,485896859
6,ETH,716992108
7,EFL,196980000
8,FPH,923244870
9,ACH,10355159007
11,NR,865223345
12,JCI,36582446024
13,VGM,711435884
14,SA,651638433
15,TRNO,1903304591
16,CPN,5455400739
17,OMAM,2008979755
18,UTX,107343768781
19,PLT,1827565116
20,LEO,534973968
22,PAGP,3601652669
23,SYY,32409703104
24,ELP,1951162824
25,ATEN,447149164
26,CDR,502242356
27,DAL,42578755861
28,AIZ,4986384141
29,AER,8542338527
31,SXCP,910650210
32,IGI,237136502
33,GDDY,8524964927
34,BB,7331321611
36,NIQ,167381500
37,ATKR,1405641420
38,SUM,3461404088
39,CHE,4214545812
40,HDB,89697641844
41,WGO,1722093526
42,OXM,1366182837
43,HTGC,1099164353
44,TXT,15586581991
45,MHO,1025418748
46,AEG,14096933491
48,AQUA,2743271252
49,CO,1010370204
50,MULE,3160673797
51,GSH,4925891630
52,HBI,7998976931
53,SEP,13425173582
54,LW,8676937204
55,MPO,457399697
56,CLDT,1047443565
57,DAN,5005291495
59,NVGS,580307634
60,GHM,220967677
61,STO,77325474366
62,FMS,33716654675
63,GPRK,626805306
64,GE,150460674750
65,NOAH,2829908319
66,MANU,3218217178
67,ISD,494860053
68,IBM,156134715900
69,CNQ,45022444162
70,MAN,8746784067
71,CAI,585942404
72,MSL,248232435
73,VMC,17802845857
74,PBFX,902833931
75,BYD,4185122191
76,BFK,625637321
77,MDR,2223930001
78,GWB,2521299405
79,WFC,312476470197
80,EOS,767724032
81,GBL,871062119
82,CTS,894240908
83,TIF,13544994807
84,VTR,19581888418
85,UTL,662069881
86,TGI,1419920559
87,INSI,210559288
88,CWH,3798588242
90,NVO,137839411434
91,PRO,912539828
92,TG,645676501
93,INB,231652101
94,NEXA,2705073209
95,VNO,13538291347
96,ARI,1971030724
97,FRAC,2069995068
99,BETR,927785488
100,CBT,4137616856
101,APTS,627066314
102,MS,100067218561
103,NEE,71443984602
104,SGU,601353072
105,ETW,1324432734
106,LADR,1633532617
107,MCO,30081051000
109,AXR,58067708
110,ECL,39705492936
111,SJM,14295116195
112,AMT,57792759217
113,HIG,20058291545
114,SQNS,145313019
115,ONDK,360075370
116,ENIC,6008955385
117,MIE,291779473
118,TWLO,2362954761
119,LTM,9920829857
120,JKS,789253062
121,CGA,56670360
122,GD,62260502763
123,TNC,1296021877
124,VFC,30876948564
125,BXS,3138959577
126,TSI,267523829
127,BSMX,10451971230
128,TOT,147859150368
129,ZTO,11898239967
130,Y,9136101791
132,OMN,480078805
133,GIB,13770183498
134,MSI,15759340739
135,SMLP,1600016672
136,COTV,3154389534
137,EPD,61612573578
138,BLL,13666172381
139,PYN,55953395
140,ZTS,37409118569
141,SN,488790629
142,EGL,1028151627
143,ENLC,3349943146
144,FE,13310151450
145,CHK,3716525147
146,NUM,274911817
147,VET,4860873229
148,AOS,11276857676
149,ASIX,1218708981
150,RLI,2620678748
151,ASH,4514408079
152,ELY,1343361803
153,URI,15237803700
154,GLOG,1673483495
155,GCH,117351528
156,PHT,286471356
157,WAAS,394414811
158,DRH,2355589528
159,SITE,2874025410
161,MYE,649852175
162,AWK,14717754254
163,BH,867115540
164,JRI,489372992
165,AOD,1055490656
166,HPP,5065735321
167,XOXO,499614551
168,DK,3190407733
169,TSN,29113981997
170,WR,7323533831
171,SMFG,67751838381
172,SSTK,1548929882
173,IRS,1653278646
174,SIG,3367113912
175,CII,739033450
176,HNP,9884049332
178,CELP,82754108
179,LPG,422183811
180,AHT,662672390
181,VSLR,459050068
182,MUI,529254396
183,AVD,649522433
184,XFLT,70242483
185,ANH,519986196
186,XOM,372865334776
187,GVA,2615805396
188,CBI,1922897869
189,HCA,31652293500
191,QTS,2521428950
192,KR,25268642634
193,ACCO,1363853107
194,AU,4507899521
195,HVT,497595868
196,CMG,9447583023
197,NMZ,863993160
198,SZC,118013757
199,HPE,25613741287
200,FSIC,1867513162
201,MKC.V,13466632333
202,VAC,3632414321
203,BX,41076739587
204,HF,1906986860
206,TPGE,158112500
207,XEC,12045740931
209,PQ,38503406
210,E,66378395052
211,RGC,3592916589
212,VNTV,13796615201
213,GIL,7078074460
214,KTF,464797876
215,STK,353243502
216,JE,610906571
217,SFUN,2312065968
218,CBB,746683598
219,NGL,1922177437
220,DKS,3521797818
222,NYT,3276497004
223,GIMO,1455790413
224,IPHI,1610745576
225,PZC,234619034
226,PGP,148906875
227,LCI,933069827
228,TIER,935809804
229,ACC,5316540939
230,PPDF,2008103076
231,TS,20240303950
232,MTR,33917338
233,ICD,188008593
234,CVA,2207600897
235,EHIC,819987704
237,ETB,421236387
238,TCS,234726744
239,TNH,1558757778
240,FIV,333916429
241,NWE,2617786577
242,RDS.B,221423168044
243,KRC,7065813626
245,IIM,692671945
246,RA,864764107
247,BXE,77029721
248,KYE,398221322
249,BRO,7329845232
250,DQ,669010880
251,DUC,241403317
252,FSM,791799436
253,VST,7884579478
254,STOR,4704788237
255,OEC,1643169928
256,NYV,33599452
257,AMH,5855197454
258,TPX,3386289313
259,SRF,24725140
260,P,1131958177
261,SOL,60758501
262,ATR,5409596024
265,FT,177431172
266,MUR,6031421911
267,FR,3627768418
268,ELS,7482812392
269,HCC,1488479009
270,OMI,1332179083
271,JCAP,264174109
272,SLF,26806371520
273,FF,633379382
274,CNP,12017214231
275,BBL,118160917566
276,JCE,242247892
277,AAN,2932163360
278,EDU,16123541149
279,JMLP,119588231
280,FN,1094206184
281,PCG,22737488025
282,CODI,1006320000
283,SHW,39924831297
284,EGF,86450846
285,CADE,2366587500
287,WRD,1974862468
288,EFT,574834410
289,CNC,19215283227
290,XPO,11345751348
291,AVAL,9937333644
292,PK,6288691638
293,SPN,1694631799
294,EFR,528773292
295,MTH,2123167164
296,VLT,119178538
297,RQI,1303387140
298,ARMK,10958043126
299,STI,32536872022
300,CVX,251401133110
301,VRX,7905515552
302,CKH,850461533
303,SDRL,134989289
304,OGE,6270744976
305,APH,28350735064
306,STNG,860152980
307,NUE,22018908841
308,IIF,490614297
311,KRP,273237173
312,BRX,5119894648
313,NI,8133567686
314,CSRA,5231131443
315,LFC,95082467620
316,NYLD,3399967401
317,NVR,13638102770
318,REX,558175365
319,ITT,4847040000
321,ASGN,3556779751
322,WIA,346918570
323,CVE,13097914614
324,BGG,1152570904
325,PHH,334911285
326,RL,8619324996
327,R,4711287681
328,ALV,11900407151
329,IBP,2367388282
330,KSS,10851429192
331,AUY,3243114707
332,KB,25078756013
333,NX,782383263
334,SMI,7253606474
335,SSNI,880350839
336,HMY,777980005
337,LPX,4065149372
338,TKR,4008924351
339,UHT,929970985
340,GMZ,439005798
341,CBZ,910525488
342,NCV,631911228
343,W,7514860231
344,JPM,387024647000
345,SHAK,1599247407
346,AEE,13536595380
347,JMT,113500754
348,LYV,8700072887
349,PSX,53795570100
350,WTTR,2176311849
351,CINR,521756853
352,SLB,106956055085
353,AVA,3326398707
354,MTZ,4295276386
355,TCAP,490298345
356,PAA,16614083152
357,ESTE,723943696
358,ANTM,63971883807
359,GBX,1492431824
360,TLI,105849945
361,THR,784720334
362,SSW,865168545
363,BCE,41888381260
364,NEM,21040123742
365,AP,180477696
366,VEDL,19626785566
367,CNK,4012284843
369,LZB,1497598780
370,KMI,43704498463
371,LTC,1630711390
372,SOI,966322803
373,AMG,11543252107
374,NBL,15517906287
375,AGCO,5808694121
376,ERF,2700586620
377,SAIC,3343432668
378,AYR,1918113180
379,HEI.A,3938575544
380,ASB,3968076079
381,SCS,1829150568
382,EQR,22361449228
383,AWR,2037161380
384,CTL,18632728094
385,ALSN,6322529272
386,FCF,1463837169
387,FSB,489636646
388,SCHW,75192928930
389,WMLP,3430523
390,TDC,4696010000
391,SQ,15566019739
393,ABC,22091711766
394,HVT.A,48923649
395,DEO,90181870968
396,SYT,42836418070
398,ICE,43759957965
399,OA,7598399920
400,RGS,723422451
401,DVD,71784297
402,CRS,2478939341
403,AGD,141559285
404,HUM,38488014166
405,BEL,1552952000
406,GNW,1582333548
407,DYN,1711117084
408,APU,4372052336
409,BP,141918638151
410,GUT,310334575
411,DMB,236392276
412,OI,3664037096
413,LUK,9911516752
414,LC,1717560707
415,WK,911949312
416,PHK,996795018
417,PRLB,2893736704
418,EVF,246132946
419,CSLT,561697378
420,GRUB,6137973715
421,AKS,2093941526
422,SNX,5383306783
423,ESRT,6066479888
424,AZO,21555817001
425,BLD,2715415992
426,MO,133859505912
427,CNX,3338621999
428,APC,32265881136
429,ANTX,16066113912
430,AME,17571841096
431,GPK,5076210952
432,BAM,42662999920
433,HCLP,1096920019
434,IGR,915235378
435,FMN,163078675
436,SKX,6194613096
437,APF,257054143
438,LITB,146681564
439,PRI,4610647539
440,RBC,3488940236
441,BGB,704803948
442,HLF,6230239654
443,TOL,7975718110
445,ADS,14268520739
446,RJF,13998006426
447,PANW,14172033992
448,TRK,794771750
449,CEA,11675341620
450,FUN,3646471142
451,VG,2506237569
452,LYG,71613084840
453,GNRC,3142365633
454,PHX,367750253
455,SXC,804447925
456,BMO,53874530824
457,TRC,546960188
458,HOME,1955160501
459,MCY,2900507476
460,CPT,7923724727
461,IPI,544007813
463,RNG,3983638609
464,USDP,304308527
465,OSB,2974655940
466,RYB,553211359
467,WD,1437045852
469,EDI,150058895
470,WNC,1315213280
471,CUB,1652862611
472,TPB,408592297
473,CEL,981255717
474,AAC,216706157
475,BAK,11965058679
476,WWE,2530680950
477,AGC,168582839
478,HQH,975618941
479,GTN,1540961200
480,AGRO,1200565605
481,EDN,2572416884
482,MUJ,423963342
483,HZO,520230864
484,AKP,115402471
485,MPC,35155907997
486,EDD,540362690
487,WM,38441156556
488,SBGL,56288493
490,ITUB,94115156155
491,UTI,63769217
492,WEA,161309363
493,WSR,528037620
494,CIC,486521875
495,WBS,5870664095
496,PHG,37493177220
497,USPH,957426428
498,VNTR,2548668019
499,BMI,1459988465
500,WAIR,731500231
501,SM,2971431652
502,LPT,6067725415
503,MNE,56790796
504,RFI,324863880
505,HY,1461854016
506,WMB,26885797773
507,CS,47830760734
508,PB,5173779534
509,SPH,1567267935
510,SRV,84313461
511,WCN,18933237750
513,CC,9672918463
515,MUS,173885410
516,JP,710954984
517,VVV,5049945152
518,OKE,23088284740
519,FBC,2202060951
520,STON,203452104
521,DGX,13833030369
522,SDT,26880000
523,AWF,1089080821
524,WFT,4039586310
525,SPR,11417953444
526,RTN,56947248130
527,FPF,1444407749
529,LXFT,1900200047
530,HMLP,630436461
531,IT,11977774635
532,WAC,28246930
533,FMC,12601810859
534,ING,78687256430
535,EQGP,7737416550
536,BGIO,207446861
537,DCO,331236129
538,EXG,2933186437
539,DEL,1145043396
541,NNC,212291308
543,CWT,2076654805
544,FSD,498919636
545,DHR,69275327545
546,NCR,4395762000
547,COP,71563577225
548,ASC,258532197
549,CFX,5095764783
