Unnamed: 0,Ticker,Opening Price,Closing Price,Close_Date,Open_Date,Article_Count,Sentiment_Summation,Article_Avg_Sentiment
0,MRC,17.34,15.29,23-Jun-2017,16-Jun-2017,,,
1,MRC,10.08,8.94,12-Feb-2016,5-Feb-2016,,,
2,MRC,12.78,11.38,8-Jan-2016,1-Jan-2016,,,
3,MRC,12.84,11.35,21-Aug-2015,14-Aug-2015,,,
4,MRC,14.98,13.22,24-Jul-2015,17-Jul-2015,,,
5,MRC,13.91,12.34,16-Jan-2015,9-Jan-2015,,,
6,MRC,17.02,14.17,12-Dec-2014,5-Dec-2014,,,
7,MRC,20.05,17.16,5-Dec-2014,28-Nov-2014,,,
8,MRC,29.4,25.01,21-Feb-2014,14-Feb-2014,,,
9,MRC,27.14,24.17,2-Aug-2013,26-Jul-2013,,,
10,MRC,33.15,28.39,31-May-2013,24-May-2013,,,
11,NVG,11.0,9.83,5-Dec-2008,28-Nov-2008,,,
12,NVG,11.17,9.97,21-Nov-2008,14-Nov-2008,,,
13,NVG,10.8,8.35,10-Oct-2008,3-Oct-2008,,,
14,TDY,36.97,29.49,23-Jan-2009,16-Jan-2009,,,
15,TDY,41.6,37.38,16-Jan-2009,9-Jan-2009,,,
16,TDY,53.0,42.8,10-Oct-2008,3-Oct-2008,,,
17,TDY,30.55,27.2,15-Apr-2005,8-Apr-2005,,,
18,TDY,14.95,13.36,24-Jan-2003,17-Jan-2003,,,
19,TDY,17.6,15.35,11-Oct-2002,4-Oct-2002,,,
20,TDY,16.75,14.91,19-Jul-2002,12-Jul-2002,,,
21,TDY,16.76,14.61,22-Jun-2001,15-Jun-2001,,,
22,TDY,20.12,14.3,23-Feb-2001,16-Feb-2001,,,
23,TDY,23.25,18.44,5-Jan-2001,29-Dec-2000,,,
24,TDY,22.56,19.94,22-Dec-2000,15-Dec-2000,,,
25,TDY,24.5,19.75,1-Dec-2000,24-Nov-2000,,,
26,TDY,26.5,23.75,10-Nov-2000,3-Nov-2000,,,
27,TDY,28.13,23.0,27-Oct-2000,20-Oct-2000,,,
28,TDY,29.0,23.44,6-Oct-2000,29-Sep-2000,,,
29,TDY,28.88,25.56,22-Sep-2000,15-Sep-2000,,,
30,TDY,20.0,15.25,4-Aug-2000,28-Jul-2000,,,
31,TDY,17.5,13.88,19-May-2000,12-May-2000,,,
32,TDY,16.44,13.88,14-Apr-2000,7-Apr-2000,,,
33,OLP,26.13,23.35,7-Jun-2013,31-May-2013,,,
34,OLP,16.29,14.49,2-Jul-2010,25-Jun-2010,,,
35,OLP,16.83,14.72,21-May-2010,14-May-2010,,,
36,OLP,16.97,15.15,7-May-2010,30-Apr-2010,,,
37,OLP,6.57,5.83,12-Jun-2009,5-Jun-2009,,,
38,OLP,4.36,3.77,17-Apr-2009,10-Apr-2009,,,
39,OLP,3.48,3.1,20-Mar-2009,13-Mar-2009,,,
40,OLP,3.87,2.91,27-Feb-2009,20-Feb-2009,,,
41,OLP,5.05,3.75,20-Feb-2009,13-Feb-2009,,,
42,OLP,7.53,6.67,23-Jan-2009,16-Jan-2009,,,
43,OLP,9.52,7.49,16-Jan-2009,9-Jan-2009,,,
44,OLP,9.5,7.05,12-Dec-2008,5-Dec-2008,,,
45,OLP,9.61,7.91,21-Nov-2008,14-Nov-2008,,,
46,OLP,11.76,10.45,7-Nov-2008,31-Oct-2008,,,
47,OLP,12.03,10.67,24-Oct-2008,17-Oct-2008,,,
48,OLP,15.83,10.03,10-Oct-2008,3-Oct-2008,,,
49,OLP,21.77,19.48,27-Jul-2007,20-Jul-2007,,,
50,ETH,32.35,29.0,27-Jan-2017,20-Jan-2017,,,
51,ETH,32.01,27.22,30-Jan-2015,23-Jan-2015,,,
52,ETH,30.85,27.53,10-Jan-2014,3-Jan-2014,,,
53,ETH,31.41,28.23,21-Jun-2013,14-Jun-2013,,,
54,ETH,27.18,24.06,14-Dec-2012,7-Dec-2012,,,
55,ETH,22.28,18.11,22-Jun-2012,15-Jun-2012,,,
56,ETH,15.43,13.82,23-Sep-2011,16-Sep-2011,,,
57,ETH,16.95,14.5,19-Aug-2011,12-Aug-2011,,,
