,Ticker,bounceback score,close,date,lowest price,num of weeks,open,volume
0,GNRC,3,13.12,20100611,10.99,2,12.53,315400
1,GNRC,3,18.6,20110225,15.32,2,17.2,595000
2,GNRC,2,20.42,20110722,17.25,7,19.74,404300
3,GNRC,4,20.31,20110826,16.52,1,16.93,711500
4,GNRC,3,45.34,20141031,38.85,3,44.52,4917911
5,GNRC,0,49.03,20171006,40.0,127,47.9,2843620
6,KOP,0,40.35,20161125,34.72,70,38.1,594891
7,KOP,4,23.79,20081031,17.54,1,17.0,1551500
8,KOP,4,21.42,20081128,14.07,1,14.28,1534700
9,KOP,4,12.39,20090313,10.14,1,9.83,2519100
10,KOP,3,24.5,20090508,17.36,3,19.08,1649500
11,KOP,2,32.24,20090918,26.45,5,27.59,1204600
12,KOP,2,32.14,20100514,27.17,5,31.27,932600
13,KOP,0,40.68,20130118,34.9,83,39.65,216100
14,KOP,1,34.53,20111028,28.6,10,29.91,1000400
15,KOP,3,31.54,20111014,24.13,3,28.2,706600
16,KOP,2,39.48,20141031,32.75,4,35.78,399484
17,KOP,0,32.53,20160715,27.85,84,30.95,668363
18,KOP,0,27.08,20150612,23.28,26,26.8,517385
19,KOP,4,18.56,20150306,16.12,1,16.19,1951000
20,KOP,3,26.13,20150508,22.47,2,22.81,2034302
21,KOP,2,23.37,20151009,19.21,5,19.56,1458324
22,DFIN,2,22.98,20161230,18.57,4,19.8,1218818
23,DEI,0,25.19,20130308,21.58,243,24.41,4494800
24,DEI,3,12.3,20081212,8.92,3,10.36,20876100
25,DEI,4,8.92,20090313,6.45,1,6.5,18221200
26,DEI,4,12.36,20090807,10.16,1,10.28,17686700
27,DEI,1,17.29,20100903,14.63,13,16.0,9074900
28,DEI,0,22.7,20120316,19.47,38,21.71,6063100
29,NGG,4,68.71,20160212,28.24,1,69.21,5064784
30,CMD,1,11.58,20080606,9.89,13,10.7,451400
31,CMD,3,10.7,20080530,9.15,3,10.52,192508
32,CMD,2,12.73,20081212,9.02,7,10.18,1076742
33,CMD,3,16.81,20090605,12.51,2,14.08,1705745
34,CMD,2,16.32,20101001,14.14,6,16.04,228080
35,CMD,2,21.57,20101203,18.22,6,20.11,297442
36,CMD,2,24.04,20110916,20.42,4,22.26,249435
37,ORCL,1,21.98,20080523,19.0,11,22.05,142280300
38,ORCL,2,22.84,20080530,19.84,7,22.05,113668600
39,ORCL,0,22.86,20090911,19.48,49,22.12,101725900
40,ORCL,0,28.0,20101008,24.32,33,27.02,203717900
41,ORCL,0,33.76,20121221,28.74,56,32.0,196504000
42,ORCL,0,37.98,20131227,31.98,40,36.53,54562900
43,BFZ,0,15.91,20120629,13.8,206,15.58,390379
44,BFZ,0,14.47,20100806,12.58,96,14.25,338534
45,BFZ,4,9.91,20081017,8.48,1,9.0,329714
46,FLO,4,24.35,20081219,7.57,1,23.21,5868890
47,FLO,1,29.34,20080711,25.44,9,27.14,4083289
48,FLO,4,29.65,20081031,25.68,1,25.32,3723867
49,FLO,0,23.71,20120706,20.6,47,23.27,1939334
50,FLO,3,24.02,20150814,20.79,3,21.91,6523507
51,FLO,1,27.05,20151023,22.8,8,25.98,6274650
52,FLO,2,18.71,20160318,15.71,5,18.01,11183729
53,BOE,4,15.782,20081017,12.13,1,13.18,422069
54,BOE,4,12.9,20081128,11.16,1,11.25,238157
55,BOE,3,13.85,20090327,11.73,3,13.32,140095
56,MIC,4,65.5,20171124,13.24,1,64.2,3209376
57,MIC,0,12.04,20091224,9.96,63,11.24,1791300
58,MIC,4,4.66,20081128,2.32,1,2.44,3695400
59,MIC,3,1.75,20090327,1.27,2,1.16,7336300
60,MIC,4,1.75,20090327,1.15,1,1.16,7336300
61,MIC,4,2.85,20090417,1.8,1,1.94,5594100
62,MIC,3,15.09,20100409,13.11,2,14.05,1453500
63,MIC,1,26.96,20110617,22.61,8,25.82,2993200
64,MIC,1,25.89,20111028,22.1,10,24.72,670600
