,Close,Date,Open,Ticker,Volume
0,60.49,20080627,63.43,PG,71585200
1,7.26,20161216,7.27,MCC,5192106
2,6.46,20160115,7.18,MCC,3279786
3,10.61,20141205,11.12,MCC,3375904
4,71.99,20160916,73.42,KOF,492412
5,128.1,20130621,145.0,KOF,544952
6,144.75,20130614,145.45,KOF,416046
7,28.13,20081024,39.0,KOF,1028958
8,28.13,20081024,39.0,KOF,1028958
9,34.75,20081010,46.65,KOF,2232241
10,6.75,20170825,6.8,CPG,2944030
11,13.19,20160401,13.43,CPG,4545392
12,10.15,20150821,12.51,CPG,6087263
13,10.15,20150821,12.51,CPG,6087263
14,12.71,20150814,13.89,CPG,5145147
15,23.37,20141205,25.79,CPG,1418183
16,40.21,20110805,46.47,CPG,136322
17,42.85,20110624,42.96,CPG,82957
18,14.85,20081205,21.25,CPG,56300
19,19.91,20151231,27.82,CAF,2923120
20,23.77,20150904,24.83,CAF,2158489
21,20.98,20081121,22.0,CAF,1002368
22,19.6,20081024,22.49,CAF,628314
23,19.6,20081024,22.49,CAF,628314
24,21.94,20100507,25.97,CAF,461200
25,17.5,20100205,18.14,FFG,380000
26,9.78,20090724,8.67,FFG,460400
27,2.55,20090306,2.95,FFG,1942100
28,3.03,20090227,4.36,FFG,1932400
29,8.34,20081121,12.0,FFG,887200
30,19.83,20080703,20.85,FFG,1151100
31,26.73,20080314,28.0,FFG,508500
32,31.09,20080118,33.9,FFG,523000
33,31.64,20080905,32.62,WGL,2816500
34,31.91,20080411,32.575,WGL,1750500
35,45.16,20100129,48.7,CMI,11579100
36,43.7,20091204,45.4,CMI,19364000
37,32.06,20090522,30.08,CMI,18414900
38,19.34,20090306,20.16,CMI,30217600
39,20.58,20081121,21.2,CMI,27896500
40,24.59,20081107,26.99,CMI,23500200
41,42.92,20080118,50.55,CMI,18569500
42,8.69,20160122,8.76,CMI,1939567
43,19.28,20151106,20.78,KMF,740532
44,25.77,20150724,26.06,KMF,1034865
45,24.18,20110729,24.99,KMF,444428
46,15.99,20130614,16.36,KMF,291100
47,15.76,20160219,17.66,ACRE,23115671
48,16.79,20160212,19.23,MUR,27611464
49,24.75,20150925,27.43,MUR,24682922
50,29.27,20150821,32.26,MUR,12350062
51,44.91,20150130,46.66,MUR,14960283
52,48.69,20110819,52.39,MUR,11731900
53,62.81,20110624,62.87,MUR,9445500
54,67.4,20110204,65.97,MUR,13986400
55,50.75,20100205,51.5,MUR,10153800
56,45.8,20081017,50.45,MUR,20193900
57,79.5,20080718,91.62,MUR,15739600
58,7.35,20151218,8.42,MUR,265539
59,3.18,20150911,3.44,SRF,198974
60,15.83,20141010,17.92,SRF,690033
61,18.55,20140411,18.65,SRF,121950
62,36.81,20110729,40.16,PNR,5433200
63,30.32,20100205,30.72,PNR,3459200
64,20.87,20090227,22.31,PNR,3560500
65,19.87,20081121,23.04,PNR,5215200
66,32.03,20080711,33.16,PNR,4910800
67,8.08,20110805,9.08,PNR,24176500
68,10.26,20110513,10.98,FHN,16835200
69,10.98,20100702,12.53,FHN,18388700
70,8.08,20081121,9.58,FHN,36414600
71,8.11,20081010,10.15,FHN,33862800
72,13.06,20080418,13.22,FHN,23125400
73,4.57,20081121,5.85,FHN,424339
74,6.02,20081010,8.68,JDD,826497
75,9.87,20081010,11.2,JDD,55387
76,11.3,20081003,12.1,NNC,77124
77,8.82,20170407,9.17,NNC,353256
78,8.14,20161014,8.51,ALDW,695779
79,9.18,20160527,9.64,ALDW,362778
80,13.15,20160212,17.17,ALDW,1292182
81,21.02,20150626,20.79,ALDW,368023
82,12.5,20141212,16.29,ALDW,2466094
83,16.39,20141205,17.0,ALDW,1460683
84,12.54,20130927,13.6,ALDW,2051505
85,19.67,20130705,24.55,ALDW,2981395
86,21.89,20130118,20.51,ALDW,2141092
87,18.88,20121130,18.35,ALDW,1302155
88,23.75,20170721,21.45,DQ,431127
89,19.8,20170616,19.81,DQ,350290
90,19.3,20161230,20.5,DQ,252655
91,17.59,20160324,17.5,DQ,309064
92,12.9,20160115,15.37,DQ,183680
93,12.21,20150821,16.36,DQ,709274
94,12.21,20150821,16.36,DQ,709274
95,17.558,20150731,17.44,DQ,267802
96,19.33,20150123,20.43,DQ,280857
97,19.33,20150123,20.43,DQ,280857
98,24.39,20140725,26.02,DQ,245717
99,24.39,20140725,26.02,DQ,245717
100,22.91,20140516,37.72,DQ,2789594
101,22.91,20140516,37.72,DQ,2789594
102,31.65,20131213,37.0,DQ,360259
103,8.38,20130809,8.9799,DQ,144560
104,4.93,20130426,4.14,DQ,272055
105,4.14,20130419,6.17,DQ,196158
106,0.76,20121130,0.7998,DQ,426475
107,0.7509,20121116,0.7879999999999999,DQ,77105
108,0.84,20120706,0.86,DQ,145738
109,1.67,20111230,1.59,DQ,1143194
110,3.35,20111021,3.69,DQ,309989
111,6.33,20110729,6.32,DQ,995781
112,10.14,20101217,11.1,DQ,877093
113,10.14,20101217,11.1,DQ,877093
114,10.54,20100326,10.49,HTGC,917500
115,4.26,20090220,5.05,HTGC,1577900
116,4.98,20081121,6.27,HTGC,1816500
117,8.44,20080711,8.67,HTGC,1120600
118,8.3,20090227,8.74,EVT,1896987
119,8.6,20081121,10.98,EVT,2290200
120,15.06,20081003,16.01,EVT,1380374
121,9.25,20081010,11.25,FRA,976950
122,11.43,20081003,11.66,FRA,603534
123,6.17,20170609,6.38,FRA,12309965
124,7.13,20161028,7.97,TK,5312217
125,6.12,20160805,6.12,TK,13850097
126,5.87,20160212,6.62,TK,9921375
127,5.87,20160212,6.62,TK,9921375
128,8.8,20151218,19.99,TK,51095727
129,42.33,20150130,44.9,TK,2189836
130,55.0,20140808,55.38,TK,1764679
131,27.6,20120518,32.22,TK,3422200
132,25.3,20120106,27.13,TK,2678000
133,24.36,20100521,24.1,TK,4587000
134,21.4,20100205,25.2,TK,4164900
135,18.5,20090807,17.99,TK,2401000
136,13.67,20090409,13.85,TK,3983200
137,11.84,20090306,15.48,TK,4521500
138,12.05,20081121,13.65,TK,4377000
139,12.05,20081121,13.65,TK,4377000
140,22.77,20081003,27.71,TK,3570600
141,1.74,20171013,1.98,TK,197674339
142,2.22,20170818,2.31,RAD,70769728
143,3.46,20170519,3.97,RAD,114685914
144,5.27,20170203,5.75,RAD,242267297
145,6.45,20161104,6.62,RAD,53897843
146,6.22,20140829,6.4,RAD,58629800
147,5.4,20131122,5.28,RAD,97308400
148,1.41,20120511,1.46,RAD,30170600
149,1.09,20111021,1.03,RAD,36786300
150,0.93,20111007,0.98,RAD,46554900
151,0.8832,20101231,0.91,RAD,19919200
152,1.27,20091127,1.3,RAD,6585400
153,1.27,20091127,1.3,RAD,6585400
154,0.88,20090424,0.63,RAD,76351300
155,0.22,20090306,0.26,RAD,10629500
156,0.28,20090130,0.316,RAD,17672200
157,2.05,20080118,2.26,RAD,59077600
158,2.05,20080118,2.26,RAD,59077600
159,2.05,20080118,2.26,RAD,59077600
160,14.14,20161202,16.49,CBD,2960152
161,11.36,20160527,11.24,CBD,1995344
162,9.55,20160129,8.37,CBD,2874165
163,12.51,20150925,14.14,CBD,6044652
164,20.7,20150724,23.06,CBD,2896767
165,29.23,20150313,31.25,CBD,4820895
