,Ticker,Opening Price,Closing Price,Date,Name
0,PG,69.77,59.56,2008-10-10,Procter & Gamble Company (The)
1,PG,76.0,68.25,2000-11-03,Procter & Gamble Company (The)
2,PG,64.0,57.0,2000-06-09,Procter & Gamble Company (The)
3,PG,68.94,59.75,2000-04-28,Procter & Gamble Company (The)
4,PG,88.38,53.75,2000-03-10,Procter & Gamble Company (The)
5,PG,116.9,102.7,2000-01-21,Procter & Gamble Company (The)
6,MCC,7.6,6.19,2017-05-12,Medley Capital Corporation
7,MCC,6.56,5.54,2016-02-12,Medley Capital Corporation
8,MCC,7.18,6.46,2016-01-15,Medley Capital Corporation
9,MCC,10.58,8.84,2014-12-12,Medley Capital Corporation
10,KOF,73.91,63.21,2016-11-11,Coca Cola Femsa S.A.B. de C.V.
11,KOF,134.33,120.02,2013-08-30,Coca Cola Femsa S.A.B. de C.V.
12,KOF,145.0,128.1,2013-06-21,Coca Cola Femsa S.A.B. de C.V.
13,KOF,36.87,32.64,2009-02-20,Coca Cola Femsa S.A.B. de C.V.
14,KOF,45.37,38.56,2009-01-09,Coca Cola Femsa S.A.B. de C.V.
15,KOF,39.0,28.13,2008-10-24,Coca Cola Femsa S.A.B. de C.V.
16,KOF,46.65,34.75,2008-10-10,Coca Cola Femsa S.A.B. de C.V.
17,KOF,46.2,41.07,2007-08-03,Coca Cola Femsa S.A.B. de C.V.
18,KOF,21.0,18.17,2002-12-27,Coca Cola Femsa S.A.B. de C.V.
19,KOF,20.45,17.89,2001-10-12,Coca Cola Femsa S.A.B. de C.V.
20,KOF,20.15,17.7,2001-09-21,Coca Cola Femsa S.A.B. de C.V.
21,CPG,8.55,7.52,2017-11-17,Crescent Point Energy Corporation
22,CPG,15.49,13.88,2016-09-09,Crescent Point Energy Corporation
23,CPG,11.63,9.74,2016-01-08,Crescent Point Energy Corporation
24,CPG,13.08,11.67,2015-09-25,Crescent Point Energy Corporation
25,CPG,12.51,10.15,2015-08-21,Crescent Point Energy Corporation
26,CPG,17.24,15.18,2015-07-24,Crescent Point Energy Corporation
27,CPG,23.2,18.81,2014-12-12,Crescent Point Energy Corporation
28,CPG,32.83,26.19,2014-11-28,Crescent Point Energy Corporation
29,CPG,42.6894,36.9953,2011-09-23,Crescent Point Energy Corporation
30,CPG,46.47,40.21,2011-08-05,Crescent Point Energy Corporation
31,CPG,20.05,17.39,2008-12-19,Crescent Point Energy Corporation
32,CPG,21.25,14.85,2008-12-05,Crescent Point Energy Corporation
33,CPG,21.27,18.2,2008-11-21,Crescent Point Energy Corporation
34,CPG,25.18,21.94,2008-11-14,Crescent Point Energy Corporation
35,CPG,22.25,18.99,2008-10-24,Crescent Point Energy Corporation
36,CPG,23.23,18.44,2008-10-10,Crescent Point Energy Corporation
37,CPG,29.28,26.28,2008-10-03,Crescent Point Energy Corporation
38,CPG,17.95,15.29,2006-11-03,Crescent Point Energy Corporation
39,CAF,18.97,16.8,2016-01-08,Morgan Stanley China A Share Fund Inc.
40,CAF,27.82,19.91,2015-12-31,Morgan Stanley China A Share Fund Inc.
41,CAF,24.13,21.64,2015-09-18,Morgan Stanley China A Share Fund Inc.
42,CAF,29.53,25.76,2015-08-21,Morgan Stanley China A Share Fund Inc.
43,CAF,35.55,31.69,2009-05-22,Morgan Stanley China A Share Fund Inc.
44,CAF,25.25,22.0,2008-12-26,Morgan Stanley China A Share Fund Inc.
45,CAF,22.74,19.67,2008-11-07,Morgan Stanley China A Share Fund Inc.
46,CAF,22.49,19.6,2008-10-24,Morgan Stanley China A Share Fund Inc.
47,CAF,27.01,21.79,2008-10-10,Morgan Stanley China A Share Fund Inc.
48,CAF,31.52,28.29,2008-09-12,Morgan Stanley China A Share Fund Inc.
49,CAF,41.74,35.98,2008-03-14,Morgan Stanley China A Share Fund Inc.
50,CAF,54.25,46.09,2008-01-18,Morgan Stanley China A Share Fund Inc.
51,CAF,67.98,59.7,2007-10-19,Morgan Stanley China A Share Fund Inc.
52,CAF,31.44,27.2,2007-03-02,Morgan Stanley China A Share Fund Inc.
53,FFG,23.46,20.67,2010-07-02,"FBL Financial Group, Inc."
54,FFG,25.97,21.94,2010-05-07,"FBL Financial Group, Inc."
55,FFG,22.48,20.15,2009-10-30,"FBL Financial Group, Inc."
56,FFG,7.38,6.18,2009-05-15,"FBL Financial Group, Inc."
57,FFG,2.95,2.55,2009-03-06,"FBL Financial Group, Inc."
58,FFG,4.36,3.03,2009-02-27,"FBL Financial Group, Inc."
59,FFG,7.11,4.3,2009-02-20,"FBL Financial Group, Inc."
60,FFG,9.11,7.41,2009-02-13,"FBL Financial Group, Inc."
61,FFG,10.02,8.85,2009-02-06,"FBL Financial Group, Inc."
62,FFG,13.05,10.47,2009-01-23,"FBL Financial Group, Inc."
63,FFG,12.0,8.34,2008-11-21,"FBL Financial Group, Inc."
64,FFG,16.26,12.14,2008-11-14,"FBL Financial Group, Inc."
65,FFG,17.8,15.97,2008-11-07,"FBL Financial Group, Inc."
66,FFG,20.5,15.73,2008-10-17,"FBL Financial Group, Inc."
67,FFG,23.12,15.75,2008-10-10,"FBL Financial Group, Inc."
68,FFG,22.4,19.84,2008-06-27,"FBL Financial Group, Inc."
69,FFG,29.18,22.99,2008-05-09,"FBL Financial Group, Inc."
70,FFG,38.42,34.57,2007-07-27,"FBL Financial Group, Inc."
71,FFG,26.5,23.55,2003-11-14,"FBL Financial Group, Inc."
72,FFG,18.19,16.0,2002-09-20,"FBL Financial Group, Inc."
73,FFG,17.5,15.5,2001-09-21,"FBL Financial Group, Inc."
74,FFG,16.0,13.38,2000-07-28,"FBL Financial Group, Inc."
75,FFG,14.81,12.88,2000-06-23,"FBL Financial Group, Inc."
76,WGL,44.87,39.5,2013-11-15,WGL Holdings Inc
77,WGL,31.88,24.84,2008-10-10,WGL Holdings Inc
78,CMI,95.46,79.91,2011-08-19,Cummins Inc.
79,CMI,108.6,92.26,2011-08-05,Cummins Inc.
80,CMI,72.57,64.24,2010-07-02,Cummins Inc.
81,CMI,72.67,65.31,2010-05-07,Cummins Inc.
82,CMI,48.59,43.06,2009-10-30,Cummins Inc.
83,CMI,33.13,29.55,2009-05-15,Cummins Inc.
84,CMI,28.27,24.62,2009-02-13,Cummins Inc.
85,CMI,25.85,21.59,2008-11-14,Cummins Inc.
