Ticker,Name,Opening Price,Closing Price,Week 0,Week 1
AAP,Advance Auto Parts Inc,35.51,26.97,2008-10-10,2008-10-17
AAP,Advance Auto Parts Inc,85.57,66.68,2012-05-18,2012-05-25
AAP,Advance Auto Parts Inc,198.71,161.62,2015-11-13,2015-11-20
ABC,AmerisourceBergen Corporation (Holding Co),36.14,29.45,2008-10-10,2008-10-17
ABC,AmerisourceBergen Corporation (Holding Co),36.31,18.31,2009-06-19,2009-06-26
ABEV,Ambev S.A.,40,30.5,2008-10-24,2008-10-31
ABEV,Ambev S.A.,127.75,26.21,2010-12-31,2011-01-07
ABG,Asbury Automotive Group Inc,13.24,11.01,2008-07-03,2008-07-10
ABG,Asbury Automotive Group Inc,12.2,10.14,2008-08-01,2008-08-08
ABG,Asbury Automotive Group Inc,12.26,8.95,2008-10-03,2008-10-10
ABG,Asbury Automotive Group Inc,14.33,9.74,2009-10-30,2009-11-06
ABG,Asbury Automotive Group Inc,15.67,13.31,2010-05-07,2010-05-14
ABG,Asbury Automotive Group Inc,66.17,53.34,2016-01-08,2016-01-15
ABX,Barrick Gold Corporation,52.58,42,2008-03-20,2008-03-27
ABX,Barrick Gold Corporation,31.35,23.61,2008-10-17,2008-10-24
ABX,Barrick Gold Corporation,35.87,30.2,2009-02-27,2009-03-06
ABX,Barrick Gold Corporation,17.56,14.84,2016-11-11,2016-11-18
ACRE,Ares Commercial Real Estate Corporation,16.12,13.08,2013-06-21,2013-06-28
AEL,American Equity Investment Life Holding Company,11.52,8.15,2008-06-27,2008-07-04
AEL,American Equity Investment Life Holding Company,16.85,13.01,2016-04-08,2016-04-15
AEO,"American Eagle Outfitters, Inc.",21.17,16.94,2008-03-07,2008-03-14
AEO,"American Eagle Outfitters, Inc.",16.2,13.53,2008-06-27,2008-07-04
AEO,"American Eagle Outfitters, Inc.",13.22,10.47,2008-10-10,2008-10-17
AEO,"American Eagle Outfitters, Inc.",15.85,13.4,2012-01-06,2012-01-13
AEO,"American Eagle Outfitters, Inc.",19.99,16.86,2013-08-09,2013-08-16
AEO,"American Eagle Outfitters, Inc.",13.55,10.85,2017-05-19,2017-05-26
AEP,"American Electric Power Company, Inc.",34.66,28,2008-10-10,2008-10-17
AER,Aercap Holdings N.V.,17.75,15.07,2008-01-18,2008-01-25
AER,Aercap Holdings N.V.,18.49,14.88,2008-05-23,2008-05-30
AER,Aercap Holdings N.V.,12.11,9.88,2008-10-03,2008-10-10
AES,The AES Corporation,12.4,9.92,2008-10-03,2008-10-10
AES,The AES Corporation,11.64,9.89,2010-05-07,2010-05-14
AIN,Albany International Corporation,23.68,18.99,2008-10-10,2008-10-17
AIN,Albany International Corporation,24.53,19.63,2010-05-21,2010-05-28
AIN,Albany International Corporation,26.82,22,2011-08-05,2011-08-12
AIN,Albany International Corporation,24.61,19.96,2012-05-04,2012-05-11
AJG,Arthur J. Gallagher & Co.,23.29,17.95,2009-02-06,2009-02-13
AKP,Alliance California Municipal Income Fund Inc,10.97,8.1,2008-10-10,2008-10-17
AKR,Acadia Realty Trust,22.71,18.64,2008-10-10,2008-10-17
AKR,Acadia Realty Trust,11.59,9.65,2009-03-20,2009-03-27
ALB,Albemarle Corporation,33.69,28.11,2008-10-03,2008-10-10
ALB,Albemarle Corporation,22.41,18.29,2008-11-21,2008-11-28
ALB,Albemarle Corporation,67.49,56.28,2011-08-05,2011-08-12
ALB,Albemarle Corporation,57.23,48.26,2015-01-30,2015-02-06
ALDW,"Alon USA Partners, LP",26.88,22.19,2013-04-05,2013-04-12
ALDW,"Alon USA Partners, LP",24.55,19.67,2013-07-05,2013-07-12
ALDW,"Alon USA Partners, LP",20,15.73,2013-08-16,2013-08-23
ALDW,"Alon USA Partners, LP",12.64,10.57,2013-11-08,2013-11-15
ALDW,"Alon USA Partners, LP",16.29,12.5,2014-12-12,2014-12-19
ALDW,"Alon USA Partners, LP",17.17,13.15,2016-02-12,2016-02-19
ALDW,"Alon USA Partners, LP",10.65,8.25,2016-09-16,2016-09-23
ALE,"Allete, Inc.",42.44,35.59,2008-10-10,2008-10-17
AMOV,"America Movil, S.A.B. de C.V.",47.73,39.9,2008-10-03,2008-10-10
AMOV,"America Movil, S.A.B. de C.V.",50.85,27,2011-07-01,2011-07-08
AMT,American Tower Corporation (REIT),34.23,27.13,2008-10-24,2008-10-31
AN,"AutoNation, Inc.",12.95,10.93,2008-10-03,2008-10-10
AN,"AutoNation, Inc.",20.46,17.24,2009-10-30,2009-11-06
AN,"AutoNation, Inc.",59,48.82,2016-01-08,2016-01-15
ANTM,"Anthem, Inc.",66.4,47.09,2008-03-14,2008-03-21
ANTM,"Anthem, Inc.",43.75,35.3,2008-10-10,2008-10-17
ANTM,"Anthem, Inc.",40.4,33.92,2009-02-27,2009-03-06
AOI,"Alliance One International, Inc.",17.14,14.51,2015-11-13,2015-11-20
AOI,"Alliance One International, Inc.",11.96,9.74,2016-01-29,2016-02-05
AOI,"Alliance One International, Inc.",24.29,19.66,2016-05-27,2016-06-03
AOI,"Alliance One International, Inc.",22.59,19.12,2016-09-30,2016-10-07
APU,"AmeriGas Partners, L.P.",30,19.59,2008-10-10,2008-10-17
APU,"AmeriGas Partners, L.P.",30.15,23.76,2008-11-21,2008-11-28
ARA,"American Renal Associates Holdings, Inc",21.64,17.39,2017-03-10,2017-03-17
AROC,"Archrock, Inc.",15.95,13.35,2017-02-24,2017-03-03
AT,Atlantic Power Corporation,14.98,11.99,2012-11-09,2012-11-16
AT,Atlantic Power Corporation,10.64,7.12,2013-03-01,2013-03-08
AVAL,Grupo Aval Acciones y Valores S.A.,11.87,9.97,2014-12-12,2014-12-19
AVP,"Avon Products, Inc.",38.12,29.31,2008-10-10,2008-10-17
AVP,"Avon Products, Inc.",23.4,18.87,2011-10-28,2011-11-04
AVP,"Avon Products, Inc.",21.19,16.95,2012-05-18,2012-05-25
AVP,"Avon Products, Inc.",22.03,18.27,2013-11-01,2013-11-08
AXP,American Express Company,38.16,30.87,2008-10-03,2008-10-10
AXP,American Express Company,25.92,19.99,2008-11-14,2008-11-21
AXS,Axis Capital Holdings Limited,29,22.21,2008-10-10,2008-10-17
AXS,Axis Capital Holdings Limited,25.51,19.33,2008-11-21,2008-11-28
B,"Barnes Group, Inc.",20.46,15.88,2008-10-03,2008-10-10
B,"Barnes Group, Inc.",10.06,8.01,2009-03-06,2009-03-13
B,"Barnes Group, Inc.",16.62,13.39,2009-06-12,2009-06-19
BAH,Booz Allen Hamilton Holding Corporation,38.52,31.9,2017-06-16,2017-06-23
BAS,"Basic Energy Services, Inc.",29.15,24.74,2008-09-05,2008-09-12
BAS,"Basic Energy Services, Inc.",10.28,8.45,2009-02-13,2009-02-20
BAS,"Basic Energy Services, Inc.",12.43,9.51,2009-05-15,2009-05-22
BAS,"Basic Energy Services, Inc.",11.17,9.39,2010-01-29,2010-02-05
BAS,"Basic Energy Services, Inc.",10.34,7.72,2010-05-07,2010-05-14
BAS,"Basic Energy Services, Inc.",32.94,25.15,2011-08-05,2011-08-12
BAS,"Basic Energy Services, Inc.",19.34,13.26,2011-09-23,2011-09-30
BAS,"Basic Energy Services, Inc.",19.75,16.72,2011-11-25,2011-12-02
BAS,"Basic Energy Services, Inc.",15.67,13.22,2012-04-20,2012-04-27
BAS,"Basic Energy Services, Inc.",14.65,12.22,2013-07-26,2013-08-02
BAS,"Basic Energy Services, Inc.",22.47,18.92,2014-10-03,2014-10-10
BAS,"Basic Energy Services, Inc.",11.33,8.93,2014-11-28,2014-12-05
