Ticker,Opening Price,Closing Price,Date
MRC,17.34,15.29,2017-06-23
MRC,10.08,8.94,2016-02-12
MRC,12.78,11.38,2016-01-08
MRC,12.84,11.35,2015-08-21
MRC,14.98,13.22,2015-07-24
MRC,13.91,12.34,2015-01-16
MRC,17.02,14.17,2014-12-12
MRC,20.05,17.16,2014-12-05
MRC,29.4,25.01,2014-02-21
MRC,27.14,24.17,2013-08-02
MRC,33.15,28.39,2013-05-31
NVG,11.0,9.83,2008-12-05
NVG,11.17,9.97,2008-11-21
NVG,10.8,8.35,2008-10-10
TDY,36.97,29.49,2009-01-23
TDY,41.6,37.38,2009-01-16
TDY,53.0,42.8,2008-10-10
TDY,30.55,27.2,2005-04-15
TDY,14.95,13.36,2003-01-24
TDY,17.6,15.35,2002-10-11
TDY,16.75,14.91,2002-07-19
TDY,16.76,14.61,2001-06-22
TDY,20.12,14.3,2001-02-23
TDY,23.25,18.44,2001-01-05
TDY,22.56,19.94,2000-12-22
TDY,24.5,19.75,2000-12-01
TDY,26.5,23.75,2000-11-10
TDY,28.13,23.0,2000-10-27
TDY,29.0,23.44,2000-10-06
TDY,28.88,25.56,2000-09-22
TDY,20.0,15.25,2000-08-04
TDY,17.5,13.88,2000-05-19
TDY,16.44,13.88,2000-04-14
OLP,26.13,23.35,2013-06-07
OLP,16.29,14.49,2010-07-02
OLP,16.83,14.72,2010-05-21
OLP,16.97,15.15,2010-05-07
OLP,6.57,5.83,2009-06-12
OLP,4.36,3.77,2009-04-17
OLP,3.48,3.1,2009-03-20
OLP,3.87,2.91,2009-02-27
OLP,5.05,3.75,2009-02-20
OLP,7.53,6.67,2009-01-23
OLP,9.52,7.49,2009-01-16
OLP,9.5,7.05,2008-12-12
OLP,9.61,7.91,2008-11-21
OLP,11.76,10.45,2008-11-07
OLP,12.03,10.67,2008-10-24
OLP,15.83,10.03,2008-10-10
OLP,21.77,19.48,2007-07-27
ETH,32.35,29.0,2017-01-27
ETH,32.01,27.22,2015-01-30
ETH,30.85,27.53,2014-01-10
ETH,31.41,28.23,2013-06-21
ETH,27.18,24.06,2012-12-14
ETH,22.28,18.11,2012-06-22
ETH,15.43,13.82,2011-09-23
ETH,16.95,14.5,2011-08-19
ETH,23.47,19.9,2011-06-03
ETH,18.43,15.48,2010-10-22
ETH,15.52,13.91,2010-08-13
ETH,16.06,13.58,2010-07-02
ETH,19.95,17.81,2010-06-04
ETH,25.05,20.2,2010-04-30
ETH,15.62,12.46,2009-10-30
ETH,15.87,13.6,2009-09-04
ETH,12.22,10.94,2009-06-19
ETH,13.0,9.96,2009-05-15
ETH,14.08,12.47,2009-04-17
ETH,9.33,7.1,2009-03-06
ETH,12.68,11.39,2009-01-30
ETH,14.61,12.89,2008-12-19
ETH,15.07,12.21,2008-11-21
ETH,17.78,15.25,2008-11-14
ETH,20.91,18.6,2008-10-24
ETH,25.25,20.68,2008-10-17
ETH,29.0,26.0,2008-09-05
ETH,28.61,25.4,2008-01-04
ETH,40.0,35.02,2006-08-25
ETH,32.5,27.86,2001-09-21
CPN,11.77,10.5,2016-12-02
CPN,15.2,12.35,2016-02-12
CPN,16.44,14.5,2011-08-05
CPN,14.27,12.77,2010-05-21
CPN,11.83,10.29,2009-05-15
CPN,9.69,7.97,2009-04-24
CPN,7.08,6.06,2009-02-20
CPN,8.21,7.36,2009-02-13
CPN,7.95,7.13,2009-01-23
CPN,7.83,6.8,2008-12-26
CPN,8.72,7.83,2008-12-12
CPN,8.89,6.8,2008-11-21
CPN,10.37,8.72,2008-11-14
CPN,11.87,9.49,2008-11-07
CPN,10.79,9.19,2008-10-10
CPN,13.24,10.96,2008-10-03
CPN,16.29,14.31,2008-09-19
CPN,19.0,16.0,2008-01-18
OMAM,14.1,12.2,2016-11-04
OMAM,13.44,11.79,2016-01-15
UTX,110.97,99.31,2015-07-24
UTX,83.31,74.14,2011-08-05
UTX,53.88,47.63,2008-10-10
UTX,69.23,61.15,2008-06-27
UTX,56.0,42.25,2001-09-21
UTX,81.2,71.43,2001-03-16
UTX,62.5,52.25,2000-01-28
PAGP,26.18,21.09,2017-08-11
PAGP,7.04,6.04,2016-02-12
PAGP,9.18,8.19,2016-01-08
PAGP,9.03,7.5,2015-12-18
PAGP,11.74,9.79,2015-12-04
PAGP,15.5,12.82,2015-11-06
PAGP,25.49,17.7,2015-08-07
PAGP,29.95,26.28,2014-10-10
SYY,43.05,36.28,2013-12-13
SYY,26.2,23.15,2008-10-24
SYY,28.04,24.55,2008-10-10
SYY,27.5,24.45,2003-03-07
SYY,26.75,22.22,2001-09-21
SYY,30.0,26.06,2001-01-05
ELP,11.13,8.42,2016-11-11
ELP,5.21,4.67,2016-01-15
ELP,5.77,5.0,2016-01-08
ELP,11.02,9.91,2015-07-24
ELP,11.95,10.68,2015-03-06
ELP,18.08,15.43,2014-09-12
ELP,15.64,11.77,2013-06-21
ELP,17.77,15.57,2013-05-31
ELP,11.43,9.07,2008-10-24
ELP,12.62,8.77,2008-10-10
ELP,16.91,15.2,2008-09-05
ELP,16.64,14.81,2007-12-14
ELP,17.36,15.39,2007-10-19
ELP,18.05,16.22,2007-07-27
ELP,11.25,9.96,2006-05-12
ELP,5.97,5.28,2005-08-19
ELP,5.32,4.78,2005-03-11
ELP,4.45,3.94,2005-01-07
ELP,4.77,4.2,2004-12-10
ELP,3.1,2.65,2004-05-21
ELP,4.55,3.95,2004-01-30
ELP,2.96,2.6,2003-08-01
ELP,3.36,2.98,2003-06-27
ELP,3.09,2.69,2003-04-11
ELP,2.5,2.18,2003-02-07
ELP,3.13,2.74,2003-01-17
ELP,2.23,1.96,2002-12-06
ELP,2.39,2.06,2002-11-08
ELP,2.25,2.0,2002-10-11
ELP,2.48,1.93,2002-09-27
ELP,3.05,2.55,2002-09-20
ELP,3.42,3.0,2002-09-06
ELP,3.5,2.92,2002-08-16
ELP,3.95,3.28,2002-07-26
ELP,4.98,4.03,2002-06-21
ELP,5.67,5.06,2002-06-07
ELP,7.16,6.25,2002-05-03
ELP,7.4,6.48,2002-01-11
ELP,5.4,4.84,2001-11-02
ELP,5.83,5.0,2001-10-05
ELP,8.17,7.08,2001-05-11
ELP,8.1,6.9,2001-04-20
ELP,9.31,7.44,2000-04-14
ATEN,7.55,6.32,2018-01-17
ATEN,8.1,6.92,2017-07-14
ATEN,9.5,7.47,2016-10-28
ATEN,4.96,4.14,2015-02-13
ATEN,5.37,4.8,2015-01-30
ATEN,8.07,4.21,2014-10-10
ATEN,9.46,8.06,2014-10-03
ATEN,13.1,11.46,2014-08-01
ATEN,13.62,12.2,2014-07-11
ATEN,14.51,12.75,2014-04-25
CDR,5.98,5.32,2018-01-12
CDR,6.4,5.75,2013-05-31
CDR,3.88,3.39,2011-11-11
CDR,3.59,3.17,2011-09-23
CDR,5.01,3.97,2011-08-05
CDR,6.14,5.5,2010-08-13
CDR,7.53,6.52,2010-05-21
CDR,8.05,6.75,2010-05-07
CDR,6.82,6.13,2009-10-16
CDR,6.4,5.57,2009-09-04
CDR,4.25,3.56,2009-05-15
CDR,2.8,1.98,2009-03-20
CDR,3.29,2.73,2009-03-13
CDR,4.68,3.32,2009-03-06
CDR,6.35,5.17,2009-02-20
CDR,6.6,4.22,2008-11-21
CDR,8.9,6.62,2008-11-14
CDR,9.48,8.13,2008-10-24
CDR,11.73,9.52,2008-10-10
CDR,14.14,12.49,2007-07-27
CDR,15.0,11.5,2003-10-24
CDR,3.57,2.81,2003-10-17
CDR,3.79,2.77,2003-07-25
CDR,7.1,3.79,2003-07-18
CDR,5.7,4.85,2003-05-30
CDR,5.25,4.5,2003-04-04
CDR,5.0,4.5,2003-03-21
CDR,3.74,3.2,2002-10-25
CDR,4.23,2.61,2002-10-11
CDR,5.75,3.77,2002-08-16
CDR,8.8,5.4,2002-06-07
CDR,6.0,5.03,2002-04-26
CDR,4.5,4.0,2001-10-26
CDR,5.15,3.85,2001-10-12
CDR,6.3,5.45,2001-10-05
CDR,4.0,3.38,2001-08-31
CDR,3.45,3.1,2001-05-25
CDR,2.875,2.31,2001-04-06
CDR,3.0,2.37,2001-03-16
CDR,3.69,3.0,2001-03-02
CDR,3.25,2.69,2000-12-22
CDR,3.69,3.25,2000-12-08
CDR,5.62,5.0,2000-09-29
CDR,6.0,4.0,2000-04-14
CDR,6.56,5.56,2000-02-11
AIZ,77.34,67.07,2016-02-12
AIZ,41.23,35.0,2010-11-12
AIZ,27.7,23.41,2009-05-01
AIZ,20.03,17.19,2009-03-06
AIZ,19.88,15.06,2008-11-21
AIZ,23.28,19.98,2008-11-14
AIZ,25.38,22.35,2008-11-07
AIZ,36.26,25.48,2008-10-31
AIZ,48.37,35.09,2008-10-10
AER,42.31,36.71,2016-01-08
AER,45.39,40.37,2015-12-11
AER,10.68,9.46,2011-09-23
AER,11.11,9.89,2011-08-19
AER,12.49,10.77,2011-08-05
AER,12.86,10.99,2010-05-21
AER,13.89,11.91,2010-05-07
AER,8.82,7.9,2010-02-05
AER,10.75,9.51,2010-01-22
AER,6.74,6.0,2009-05-15
AER,3.2,2.86,2009-04-03
AER,3.11,2.09,2009-03-06
AER,4.39,3.23,2009-02-27
AER,5.83,4.8701,2009-01-30
AER,2.98,2.66,2008-12-26
AER,4.39,3.08,2008-12-05
AER,4.01,2.6,2008-11-21
AER,6.2,4.05,2008-11-14
AER,7.86,6.93,2008-10-24
AER,9.0,6.6,2008-10-10
AER,12.11,9.88,2008-10-03
AER,13.77,12.26,2008-06-27
AER,18.49,14.88,2008-05-23
AER,20.19,17.6,2008-03-07
AER,17.75,15.07,2008-01-18
AER,27.05,23.41,2007-11-02
AER,27.86,24.92,2007-08-03
SXCP,18.4,16.45,2017-08-11
SXCP,16.9,14.9,2017-03-10
SXCP,20.0,17.85,2017-01-20
SXCP,8.55,7.28,2016-03-18
SXCP,7.65,5.97,2016-02-12
SXCP,7.34,6.31,2016-01-08
SXCP,6.43,5.68,2015-12-11
SXCP,11.05,7.57,2015-11-13
SXCP,11.77,10.58,2015-10-30
SXCP,13.76,12.31,2015-10-16
SXCP,16.31,14.61,2015-07-17
SXCP,20.13,17.99,2015-06-19
GDDY,36.51,31.8,2016-11-04
GDDY,30.44,25.86,2016-02-05
ATKR,20.79,17.72,2017-08-11
ATKR,25.77,22.11,2017-05-12
SUM,20.13,16.51,2016-01-08
SUM,23.06,20.27,2015-12-11
SUM,24.26,20.87,2015-09-25
SUM,26.99,23.4,2015-08-21
CHE,80.0,68.0,2013-05-03
CHE,57.61,49.77,2011-11-18
CHE,61.3,54.96,2011-08-05
CHE,39.46,35.3,2009-03-06
CHE,45.07,39.81,2009-02-27
CHE,38.82,32.04,2008-10-10
CHE,40.4,32.75,2008-04-25
CHE,64.38,57.18,2007-11-02
CHE,37.5,32.26,2006-09-29
CHE,53.8,40.15,2006-07-14
CHE,60.97,54.49,2006-04-28
CHE,77.96,40.31,2005-05-13
CHE,36.0,31.46,2002-07-12
CHE,31.36,27.69,2001-07-27
CHE,34.65,30.97,2001-04-06
HDB,186.75,167.08,2010-12-10
HDB,75.89,68.2,2009-01-09
HDB,57.0,48.29,2008-11-21
HDB,69.07,58.01,2008-11-14
HDB,67.07,53.01,2008-10-24
HDB,77.17,62.0,2008-10-10
HDB,80.22,71.56,2008-06-27
HDB,97.5,86.58,2008-06-06
HDB,105.82,95.14,2008-03-07
HDB,137.5,118.62,2008-01-18
HDB,55.21,47.67,2006-06-09
HDB,45.61,40.91,2005-01-07
HDB,30.61,25.98,2004-05-14
HDB,32.35,29.0,2004-01-30
HDB,26.14,23.34,2003-11-07
HDB,15.25,12.49,2001-09-21
HTGC,15.57,13.0,2017-05-05
HTGC,10.88,9.51,2010-05-07
HTGC,4.24,3.62,2009-03-06
HTGC,5.05,4.26,2009-02-20
HTGC,6.44,4.99,2009-02-13
HTGC,6.27,4.98,2008-11-21
HTGC,7.67,6.37,2008-11-14
HTGC,8.57,7.36,2008-11-07
HTGC,9.42,7.5,2008-10-10
HTGC,11.933,10.5,2005-11-11
HTGC,12.49,10.1,2005-10-14
TXT,29.56,26.35,2013-04-19
TXT,17.21,15.21,2011-08-19
TXT,23.42,18.59,2011-08-05
TXT,21.03,18.16,2010-08-13
TXT,19.32,16.07,2010-07-02
TXT,23.0,20.38,2010-05-07
TXT,11.29,9.59,2009-06-19
TXT,5.31,3.75,2009-03-06
TXT,6.51,5.65,2009-02-27
TXT,9.0,6.81,2009-02-06
TXT,12.56,9.03,2009-01-30
TXT,13.98,12.56,2009-01-23
TXT,15.84,14.05,2009-01-16
TXT,15.27,12.91,2008-12-26
TXT,16.7,14.73,2008-11-14
TXT,19.54,12.22,2008-10-24
TXT,24.75,19.03,2008-10-10
TXT,31.96,25.22,2008-10-03
TXT,46.49,41.6,2008-07-18
TXT,65.77,59.08,2008-01-11
TXT,32.95,28.55,2003-03-21
TXT,43.42,39.06,2003-01-24
TXT,44.7,39.71,2002-07-12
TXT,42.55,33.61,2001-09-28
TXT,48.5,38.5,2001-09-21
TXT,47.25,41.44,2000-12-15
TXT,56.0,48.44,2000-09-15
TXT,59.13,52.56,2000-03-10
TXT,67.13,60.38,2000-01-21
CO,12.42,10.87,2017-11-10
CO,8.11,6.85,2017-04-21
CO,5.46,4.82,2014-07-11
CO,4.29,3.83,2013-08-30
CO,3.13,2.7,2012-06-22
CO,2.62,2.31,2012-01-06
CO,2.66,2.24,2011-12-09
CO,3.46,3.09,2011-05-13
CO,3.91,3.37,2011-03-11
CO,4.05,3.63,2011-01-07
CO,5.55,3.97,2010-11-05
CO,8.0,5.75,2009-11-20
MULE,26.0,22.49,2017-07-28
HBI,22.44,19.36,2017-11-03
HBI,22.89,18.98,2017-02-03
HBI,30.2,24.96,2016-02-05
HBI,127.92,32.0,2015-03-06
HBI,27.64,23.73,2011-08-19
HBI,27.73,24.8,2010-10-29
HBI,28.87,24.95,2010-06-25
HBI,16.54,14.49,2009-05-15
HBI,8.62,7.6,2009-02-13
HBI,11.55,9.36,2009-01-23
HBI,12.97,11.54,2009-01-16
HBI,13.36,10.21,2008-12-12
HBI,14.01,9.99,2008-11-21
HBI,16.02,14.16,2008-11-14
HBI,15.78,13.24,2008-10-24
HBI,17.83,15.6,2008-10-17
HBI,22.7,18.92,2008-10-03
HBI,25.7,22.99,2008-09-26
HBI,26.34,22.32,2008-08-01
HBI,27.96,23.63,2008-07-11
HBI,31.95,28.68,2008-06-20
HBI,27.34,24.33,2008-01-04
MPO,14.51,11.08,2017-06-23
MPO,21.52,18.93,2016-12-16
MPO,0.9999,0.7111,2016-02-05
MPO,1.49,0.78,2016-01-15
MPO,2.09,1.5,2016-01-08
MPO,2.45,2.13,2015-12-18
MPO,3.15,2.72,2015-12-04
MPO,3.74,3.26,2015-11-20
MPO,5.15,3.83,2015-10-23
MPO,3.29,1.92,2015-08-21
MPO,0.75,0.56,2015-07-17
