Opening Price,Closing Price,Low Price,Bounce Price,Decline Weeks,Bounce Weeks,Bounce ?,26 Week Close,ROI
35.51,26.97,25.91,31.2,2,1,1,42.63,1.366346154
85.57,66.68,66.68,79.97,0,24,1,76.90,0.961610604
198.71,161.62,140.77,164.33,13,20,1,166.00,1.010162478
36.14,29.45,29.45,34.4,0,10,1,33.08,0.961627907
36.31,18.31,17.72,20.44,3,5,1,26.05,1.27446184
40,30.5,30.5,36.88,0,1,1,44.10,1.195770065
127.75,26.21,22.27,26.99,8,8,1,26.91,0.997035939
13.24,11.01,2.1,3.25,16,1,1,7.80,2.4
12.2,10.14,2.1,3.25,12,1,1,7.80,2.4
12.26,8.95,2.1,3.25,3,1,1,7.80,2.4
14.33,9.74,9.74,11.48,0,5,1,15.55,1.354529617
15.67,13.31,10.29,12.32,9,2,1,18.72,1.519480519
66.17,53.34,46.7,58.54,4,3,1,57.53,0.98274684
52.58,42,29.57,35.1,25,1,1,29.65,0.844729345
31.35,23.61,19.89,23.96,1,2,1,30.80,1.285475793
35.87,30.2,27.53,34.04,7,3,1,38.66,1.135722679
17.56,14.84,14.28,16.93,5,3,1,15.69,0.926757236
11.52,8.15,4.25,5.35,17,2,1,5.42,1.013084112
16.85,13.01,13.01,15.09,0,1,1,17.86,1.183565275
21.17,16.94,12.13,14.44,18,1,1,10.13,0.701523546
16.2,13.53,7.52,9.6,21,1,1,13.59,1.415625
13.22,10.47,7.52,9.6,6,1,1,13.59,1.415625
15.85,13.4,12.97,16.1,1,8,1,20.18,1.253416149
13.55,10.85,10.85,12.73,0,14,1,14.93,1.17282011
34.66,28,24.81,28.61,21,16,1,30.99,1.083187697
17.75,15.07,12.03,14.2,24,2,1,2.94,0.207042254
18.49,14.88,2.6,4.63,26,1,1,6.07,1.311015119
12.11,9.88,2.09,2.8,22,1,1,8.67,3.096428571
12.4,9.92,5.11,6.14,22,1,1,13.50,2.198697068
11.64,9.89,9.12,10.65,8,5,1,12.18,1.143661972
23.68,18.99,5.15,6.08,21,1,1,17.18,2.825657895
24.53,19.63,15.41,18.33,6,3,1,23.69,1.292416803
26.82,22,17.82,21.07,7,3,1,23.54,1.117228287
24.61,19.96,17.65,20.83,7,8,1,22.33,1.072011522
23.29,17.95,15.68,18.08,4,5,1,23.63,1.306969027
10.97,8.1,7.96,9.45,9,2,1,11.39,1.205291005
22.71,18.64,8.9,11.29,21,1,1,14.54,1.287865368
11.59,9.65,9.65,11.94,0,2,1,16.23,1.359296482
33.69,28.11,16.17,20.08,22,2,1,32.32,1.609561753
22.41,18.29,16.17,20.08,15,2,1,32.32,1.609561753
67.49,56.28,40.4,48.63,8,2,1,63.47,1.305161423
57.23,48.26,48.26,56.57,0,4,1,54.20,0.958105003
26.88,22.19,12.54,15.71,25,3,1,16.49,1.049649905
24.55,19.67,10.57,13.36,18,1,1,18.38,1.375748503
20,15.73,10.57,13.36,12,1,1,18.38,1.375748503
12.64,10.57,10.57,13.36,0,1,1,18.38,1.375748503
16.29,12.5,12.5,14.6,0,4,1,19.42,1.330136986
17.17,13.15,9.18,11.25,15,13,1,8.39,0.745777778
10.65,8.25,7.98,9.29,7,4,1,9.00,0.968783638
42.44,35.59,24.11,28.52,21,14,1,33.22,1.164796634
47.73,39.9,23.95,28.48,22,1,1,44.57,1.564957865
50.85,27,21.47,26.3,14,3,1,24.00,0.912547529
34.23,27.13,20.92,27.24,4,1,1,29.54,1.084434655
12.95,10.93,4.43,6.87,3,1,1,16.19,2.356622999
20.46,17.24,17.24,19.88,0,8,1,20.20,1.016096579
59,48.82,43.25,51.66,3,4,1,53.35,1.032713899
66.4,47.09,43.23,51.07,2,4,1,46.69,0.914235363
43.75,35.3,30.08,35.6,6,1,1,44.75,1.257022472
40.4,33.92,31.41,36.8,1,1,1,54.17,1.47201087
17.14,14.51,9.74,11.54,11,1,1,17.30,1.499133449
11.96,9.74,9.74,11.54,0,1,1,17.30,1.499133449
24.29,19.66,14.25,17.4,23,1,1,13.25,0.761494253
22.59,19.12,12.85,15.45,26,14,1,10.90,0.705501618
30,19.59,19.59,27.64,0,1,1,29.00,1.049204052
30.15,23.76,23.76,27.89,0,3,1,31.28,1.121548942
21.64,17.39,13.98,17.05,24,17,1,18.39,1.078475073
15.95,13.35,9.05,10.5,25,2,1,10.05,0.957142857
14.98,11.99,4.6,5.31,23,3,1,5.29,0.996233522
10.64,7.12,3.89,4.54,18,13,1,3.41,0.751101322
11.87,9.97,8.5,10.02,13,7,1,7.90,0.788423154
38.12,29.31,15.68,19.9,21,3,1,30.88,1.551758794
23.4,18.87,16.09,18.58,4,8,1,16.59,0.892895587
21.19,16.95,14.1,16.68,26,10,1,24.02,1.440047962
38.16,30.87,10.26,13.09,22,1,1,32.84,2.508785332
25.92,19.99,10.26,13.09,16,1,1,32.84,2.508785332
29,22.21,18.68,23.48,21,2,1,29.90,1.273424191
25.51,19.33,18.68,23.48,15,2,1,29.90,1.273424191
20.46,15.88,8.01,10.16,22,1,1,15.30,1.505905512
10.06,8.01,8.01,10.16,0,1,1,15.30,1.505905512
16.62,13.39,11.07,13.84,4,2,1,17.45,1.26083815
38.52,31.9,31.9,36.86,0,14,1,38.21,1.036625068
29.15,24.74,5.49,7.44,26,2,1,6.55,0.880376344
10.28,8.45,5.49,7.44,3,2,1,6.55,0.880376344
12.43,9.51,6.42,7.4,8,6,1,9.97,1.347297297
11.17,9.39,7.17,8.37,22,1,1,16.48,1.968936679
10.34,7.72,7.17,8.37,8,1,1,16.48,1.968936679
32.94,25.15,13.26,15.41,7,2,1,17.98,1.166774822
19.34,13.26,13.26,15.41,0,2,1,17.98,1.166774822
19.75,16.72,10.88,13.67,25,17,1,8.96,0.65544989
15.67,13.22,9.35,11.78,12,3,1,12.20,1.03565365
14.65,12.22,11.64,13.47,5,7,1,23.85,1.770601336
22.47,18.92,5.22,7.98,10,1,1,8.22,1.030075188
11.33,8.93,5.22,7.98,2,1,1,8.22,1.030075188
146.5,120.98,38.82,47.46,24,4,1,83.02,1.749262537
103.26,70.76,36.34,45.01,23,3,1,77.55,1.722950455
60.47,48.51,36.34,45.01,3,3,1,77.55,1.722950455
83.37,68.91,58.14,70,9,3,1,60.69,0.867
62.09,52.23,44.12,56.92,11,7,1,63.38,1.113492621
36.7,27.75,13.44,16.17,26,4,1,10.89,0.673469388
29.88,23.93,13.44,16.17,13,4,1,10.89,0.673469388
14.15,10.91,10.91,13.56,0,3,1,13.78,1.015855457
17.82,13.025,8.88,10.51,25,3,1,9.89,0.941008563
13.5,10.46,5.88,7.22,23,2,1,7.66,1.060941828
10.33,8.725,5.88,7.22,11,2,1,7.66,1.060941828
12.4,8.48,7.57,8.91,9,1,1,11.77,1.320987654
12.64,10.62,7.57,8.91,4,1,1,11.77,1.320987654
390.5,320.1,264,317,14,3,1,427.90,1.349842271
43.91,37.25,29.13,40.02,6,1,1,52.57,1.313593203
24.66,17.95,13.45,15.51,12,4,1,23.04,1.48549323
45.43,37.34,28.78,33.85,26,16,1,36.90,1.090103397
38.36,30.28,27.19,31.82,12,10,1,37.34,1.173475801
38.28,32.47,26.3,35.97,10,3,1,46.38,1.28940784
48.58,40,38.39,45.55,2,4,1,46.53,1.021514819
47.4,40.04,35.96,42.9,6,7,1,51.37,1.197435897
15.83,10,9.15,12.15,21,1,1,14.98,1.232921811
13.47,10.6,9.15,12.15,15,1,1,14.98,1.232921811
11.54,9.15,9.15,12.15,0,1,1,14.98,1.232921811
17.89,14.5,14.5,16.77,0,9,1,17.65,1.052474657
47.31,32.74,32,38.29,11,16,1,40.80,1.065552364
12.45,9.55,9.55,12.31,0,1,1,14.40,1.169780666
12.37,9.1518,9.1518,10.814,0,1,1,12.29,1.136489736
11.59,9.75,9.5,11.1,3,1,1,12.90,1.162162162
10.93,8.3587,7.16,8.54,9,2,1,11.59,1.357142857
15.5,12.85,12.7,15.75,9,4,1,15.07,0.957104762
