Opening Price,Closing Price,Low Price,Bounce Price,Decline Bucket,Bounce Bucket,26 Week Close,ROI,ROI Bucket
35.51,26.97,25.91,31.2,2,1,42.63,1.37,6
85.57,66.68,66.68,79.97,1,5,76.90,0.96,3
198.71,161.62,140.77,164.33,4,5,166.00,1.01,3
36.14,29.45,29.45,34.4,1,4,33.08,0.96,3
36.31,18.31,17.72,20.44,2,3,26.05,1.27,5
40,30.5,30.5,36.88,1,1,44.10,1.20,4
127.75,26.21,22.27,26.99,4,4,26.91,1.00,3
13.24,11.01,2.1,3.25,5,1,7.80,2.40,8
12.2,10.14,2.1,3.25,4,1,7.80,2.40,8
12.26,8.95,2.1,3.25,2,1,7.80,2.40,8
14.33,9.74,9.74,11.48,1,3,15.55,1.35,6
15.67,13.31,10.29,12.32,4,2,18.72,1.52,7
66.17,53.34,46.7,58.54,3,2,57.53,0.98,3
52.58,42,29.57,35.1,5,1,29.65,0.84,2
31.35,23.61,19.89,23.96,1,2,30.80,1.29,5
35.87,30.2,27.53,34.04,3,2,38.66,1.14,4
17.56,14.84,14.28,16.93,3,2,15.69,0.93,3
11.52,8.15,4.25,5.35,5,2,5.42,1.01,3
16.85,13.01,13.01,15.09,1,1,17.86,1.18,4
21.17,16.94,12.13,14.44,5,1,10.13,0.70,1
16.2,13.53,7.52,9.6,5,1,13.59,1.42,6
13.22,10.47,7.52,9.6,3,1,13.59,1.42,6
15.85,13.4,12.97,16.1,1,4,20.18,1.25,5
13.55,10.85,10.85,12.73,1,4,14.93,1.17,4
34.66,28,24.81,28.61,5,5,30.99,1.08,3
17.75,15.07,12.03,14.2,5,2,2.94,0.21,1
18.49,14.88,2.6,4.63,5,1,6.07,1.31,5
12.11,9.88,2.09,2.8,5,1,8.67,3.10,8
12.4,9.92,5.11,6.14,5,1,13.50,2.20,8
11.64,9.89,9.12,10.65,4,3,12.18,1.14,4
23.68,18.99,5.15,6.08,5,1,17.18,2.83,8
24.53,19.63,15.41,18.33,3,2,23.69,1.29,5
26.82,22,17.82,21.07,3,2,23.54,1.12,4
24.61,19.96,17.65,20.83,3,4,22.33,1.07,3
23.29,17.95,15.68,18.08,3,3,23.63,1.31,5
10.97,8.1,7.96,9.45,4,2,11.39,1.21,5
22.71,18.64,8.9,11.29,5,1,14.54,1.29,5
11.59,9.65,9.65,11.94,1,2,16.23,1.36,6
33.69,28.11,16.17,20.08,5,2,32.32,1.61,7
22.41,18.29,16.17,20.08,4,2,32.32,1.61,7
67.49,56.28,40.4,48.63,4,2,63.47,1.31,5
57.23,48.26,48.26,56.57,1,3,54.20,0.96,3
26.88,22.19,12.54,15.71,5,2,16.49,1.05,3
24.55,19.67,10.57,13.36,5,1,18.38,1.38,6
20,15.73,10.57,13.36,4,1,18.38,1.38,6
12.64,10.57,10.57,13.36,1,1,18.38,1.38,6
16.29,12.5,12.5,14.6,1,3,19.42,1.33,5
17.17,13.15,9.18,11.25,4,4,8.39,0.75,1
10.65,8.25,7.98,9.29,3,3,9.00,0.97,3
42.44,35.59,24.11,28.52,5,4,33.22,1.16,4
47.73,39.9,23.95,28.48,5,1,44.57,1.56,7
50.85,27,21.47,26.3,4,2,24.00,0.91,3
34.23,27.13,20.92,27.24,3,1,29.54,1.08,3
12.95,10.93,4.43,6.87,2,1,16.19,2.36,8
20.46,17.24,17.24,19.88,1,4,20.20,1.02,3
59,48.82,43.25,51.66,2,3,53.35,1.03,3
66.4,47.09,43.23,51.07,2,3,46.69,0.91,3
43.75,35.3,30.08,35.6,3,1,44.75,1.26,5
40.4,33.92,31.41,36.8,1,1,54.17,1.47,6
17.14,14.51,9.74,11.54,4,1,17.30,1.50,6
11.96,9.74,9.74,11.54,1,1,17.30,1.50,6
24.29,19.66,14.25,17.4,5,1,13.25,0.76,2
22.59,19.12,12.85,15.45,5,4,10.90,0.71,1
30,19.59,19.59,27.64,1,1,29.00,1.05,3
30.15,23.76,23.76,27.89,1,2,31.28,1.12,4
21.64,17.39,13.98,17.05,5,5,18.39,1.08,3
15.95,13.35,9.05,10.5,5,2,10.05,0.96,3
14.98,11.99,4.6,5.31,5,2,5.29,1.00,3
10.64,7.12,3.89,4.54,5,4,3.41,0.75,2
11.87,9.97,8.5,10.02,4,3,7.90,0.79,2
38.12,29.31,15.68,19.9,5,2,30.88,1.55,7
23.4,18.87,16.09,18.58,3,4,16.59,0.89,2
21.19,16.95,14.1,16.68,5,4,24.02,1.44,6
38.16,30.87,10.26,13.09,5,1,32.84,2.51,8
25.92,19.99,10.26,13.09,5,1,32.84,2.51,8
29,22.21,18.68,23.48,5,2,29.90,1.27,5
25.51,19.33,18.68,23.48,4,2,29.90,1.27,5
20.46,15.88,8.01,10.16,5,1,15.30,1.51,7
10.06,8.01,8.01,10.16,1,1,15.30,1.51,7
16.62,13.39,11.07,13.84,3,2,17.45,1.26,5
38.52,31.9,31.9,36.86,1,4,38.21,1.04,3
29.15,24.74,5.49,7.44,5,2,6.55,0.88,2
10.28,8.45,5.49,7.44,2,2,6.55,0.88,2
12.43,9.51,6.42,7.4,4,3,9.97,1.35,5
11.17,9.39,7.17,8.37,5,1,16.48,1.97,7
10.34,7.72,7.17,8.37,4,1,16.48,1.97,7
32.94,25.15,13.26,15.41,3,2,17.98,1.17,4
19.34,13.26,13.26,15.41,1,2,17.98,1.17,4
19.75,16.72,10.88,13.67,5,5,8.96,0.66,1
15.67,13.22,9.35,11.78,4,2,12.20,1.04,3
