,Ticker,close,date,num of weeks,open,volume,Market Cap,rebound
0,PG,69.63,20080808,6,65.12,72124100,233121077971,1
1,MCC,7.92,20161111,4,7.58,1581857,289802803,1
2,MCC,7.92,20161111,26,7.58,1581857,289802803,0
3,KOF,147.61,20130809,7,148.88,307812,15963979200,1
4,KOF,76.42,20160902,26,76.88,457751,15963979200,0
5,KOF,32.64,20081107,2,32.52,965924,15963979200,1
6,KOF,32.64,20081107,2,32.52,965924,15963979200,1
7,KOF,41.92,20081219,11,36.71,972642,15963979200,1
8,CPG,7.91,20170922,4,7.32,5781516,4732037309,1
9,CPG,17.21,20160422,3,14.01,7488868,4732037309,1
10,CPG,12.52,20150904,2,11.47,7832715,4732037309,1
11,CPG,12.52,20150904,2,11.47,7832715,4732037309,1
12,CPG,15.54,20151009,13,12.86,5912436,4732037309,1
13,CPG,22.85,20150327,26,23.02,1474426,4732037309,0
14,CPG,33.03,20141031,26,33.99,652768,4732037309,0
15,CPG,40.19,20140815,26,40.54,461182,4732037309,0
16,CPG,19.04,20081212,1,16.37,114900,4732037309,1
17,CAF,28.35,20151224,17,27.44,567430,582484598,1
18,CAF,25.1,20081205,2,22.45,1135199,582484598,1
19,CAF,22.6799,20081128,6,20.7,746022,582484598,1
20,CAF,22.6799,20081128,6,20.7,746022,582484598,1
21,CAF,32.82,20150320,1,31.31,1364997,582484598,1
22,FFG,21.05,20100219,2,20.31,414800,1811419502,1
23,FFG,16.37,20090807,2,9.89,1037900,1811419502,1
24,FFG,3.39,20090313,1,2.55,1929100,1811419502,1
25,FFG,4.07,20090320,3,3.45,1331100,1811419502,1
26,FFG,11.37,20081128,1,8.82,321800,1811419502,1
27,FFG,22.95,20080829,8,21.33,233600,1811419502,1
28,FFG,19.84,20080627,26,22.4,1050400,1811419502,0
29,FFG,27.95,20080411,26,29.53,280100,1811419502,0
30,WGL,45.25,20130517,5,44.64,830700,4340316681,1
31,WGL,45.25,20130517,26,44.64,830700,4340316681,1
32,CMI,54.95,20100212,2,50.26,15189100,31464123958,1
33,CMI,53.67,20100108,5,46.35,12893400,31464123958,1
34,CMI,41.63,20090724,9,36.9,15088600,31464123958,1
35,CMI,22.52,20090313,1,18.97,16617100,31464123958,1
36,CMI,25.58,20081128,1,21.14,16413500,31464123958,1
37,CMI,29.24,20090102,8,24.99,8865600,31464123958,1
38,CMI,51.18,20080215,4,49.92,14315900,31464123958,1
39,KMF,17.12,20151113,26,18.97,972582,328088791,0
40,KMF,33.94,20150206,1,31.19,759990,328088791,1
41,KMF,33.94,20150206,1,31.19,759990,328088791,1
42,MUR,23.7,20160304,3,17.22,32900636,5984827236,1
43,MUR,30.42,20151009,2,26.44,26399569,5984827236,1
44,MUR,28.66,20151120,26,28.88,13696286,5984827236,0
45,MUR,51.77,20150213,2,50.98,12939408,5984827236,1
